index,City,Date,Card Type,Exp Type,Gender,Amount,Month
12913,"Bengaluru, India",2014-09-13,Platinum,Bills,M,8330,September
12914,"Ahmedabad, India",2014-11-17,Gold,Food,M,76945,November
12915,"Delhi, India",2013-12-05,Silver,Entertainment,F,158015,December
12916,"Delhi, India",2015-02-20,Silver,Entertainment,M,120539,February
12917,"Greater Mumbai, India",2014-08-23,Signature,Food,F,222615,August
12918,"Delhi, India",2014-09-26,Signature,Fuel,F,191743,September
12919,"Delhi, India",2014-12-16,Gold,Entertainment,F,33948,December
12920,"Bengaluru, India",2014-07-26,Platinum,Bills,F,222307,July
12921,"Greater Mumbai, India",2014-01-15,Platinum,Fuel,F,51604,January
12922,"Bengaluru, India",2014-06-07,Signature,Entertainment,M,77382,June
12923,"Greater Mumbai, India",2014-07-14,Platinum,Bills,F,191865,July
12924,"Ahmedabad, India",2014-02-23,Gold,Fuel,F,52906,February
12925,"Ahmedabad, India",2013-10-08,Gold,Food,F,87268,October
12926,"Greater Mumbai, India",2014-10-01,Platinum,Fuel,M,230405,October
12927,"Ahmedabad, India",2015-03-16,Gold,Entertainment,F,131665,March
12928,"Bengaluru, India",2014-09-06,Gold,Food,M,73143,September
12929,"Bengaluru, India",2015-02-25,Platinum,Entertainment,F,90435,February
12930,"Delhi, India",2013-10-29,Gold,Food,M,126717,October
12931,"Ahmedabad, India",2014-12-06,Silver,Entertainment,F,120278,December
12932,"Greater Mumbai, India",2014-10-23,Gold,Fuel,F,243741,October
12933,"Ahmedabad, India",2014-04-15,Platinum,Food,F,189495,April
12934,"Ahmedabad, India",2014-08-10,Platinum,Fuel,M,17769,August
12935,"Delhi, India",2013-10-18,Signature,Grocery,F,292591,October
12936,"Ahmedabad, India",2014-01-29,Gold,Grocery,M,100537,January
12937,"Bengaluru, India",2014-12-19,Platinum,Bills,F,79232,December
12938,"Bengaluru, India",2014-01-01,Signature,Food,F,223329,January
12939,"Ahmedabad, India",2013-10-26,Platinum,Entertainment,F,252512,October
12940,"Bengaluru, India",2014-12-31,Platinum,Food,F,139934,December
12941,"Greater Mumbai, India",2014-12-22,Platinum,Fuel,M,33884,December
12942,"Delhi, India",2014-12-10,Signature,Fuel,M,3311,December
12943,"Ahmedabad, India",2015-03-03,Silver,Fuel,M,47208,March
12944,"Greater Mumbai, India",2014-03-15,Gold,Bills,M,28564,March
12945,"Delhi, India",2014-09-27,Silver,Entertainment,M,207231,September
12946,"Delhi, India",2014-01-26,Silver,Food,F,82704,January
12947,"Bengaluru, India",2014-09-30,Gold,Entertainment,M,287570,September
12948,"Delhi, India",2014-07-02,Silver,Fuel,F,264849,July
12949,"Greater Mumbai, India",2014-10-24,Gold,Fuel,M,252086,October
12950,"Bengaluru, India",2015-02-21,Gold,Fuel,F,163770,February
12951,"Ahmedabad, India",2014-01-10,Platinum,Food,M,270976,January
12952,"Delhi, India",2014-09-26,Silver,Entertainment,F,65796,September
12953,"Ahmedabad, India",2014-08-09,Signature,Food,M,172178,August
12954,"Greater Mumbai, India",2013-12-21,Platinum,Fuel,F,247030,December
12955,"Bengaluru, India",2014-08-08,Platinum,Bills,F,173402,August
12956,"Greater Mumbai, India",2014-03-29,Platinum,Grocery,F,64476,March
12957,"Bengaluru, India",2014-08-21,Platinum,Bills,M,85228,August
12958,"Delhi, India",2013-12-04,Gold,Grocery,F,71699,December
12959,"Bengaluru, India",2015-02-07,Silver,Fuel,M,137201,February
12960,"Delhi, India",2015-05-21,Silver,Entertainment,M,270517,May
12961,"Greater Mumbai, India",2014-12-09,Silver,Grocery,M,79904,December
12962,"Greater Mumbai, India",2015-03-11,Signature,Food,F,171142,March
12963,"Greater Mumbai, India",2014-08-12,Platinum,Fuel,F,279705,August
12964,"Delhi, India",2013-11-15,Platinum,Entertainment,M,270330,November
12965,"Delhi, India",2014-02-16,Platinum,Grocery,M,291366,February
12966,"Ahmedabad, India",2014-01-05,Silver,Fuel,F,232483,January
12967,"Ahmedabad, India",2014-10-15,Signature,Grocery,F,205519,October
12968,"Ahmedabad, India",2015-03-03,Silver,Fuel,M,37827,March
12969,"Ahmedabad, India",2015-04-17,Gold,Entertainment,M,269735,April
12970,"Greater Mumbai, India",2014-06-09,Signature,Entertainment,M,214651,June
12971,"Delhi, India",2013-11-26,Platinum,Bills,M,147536,November
12972,"Greater Mumbai, India",2014-09-29,Silver,Fuel,M,171511,September
12973,"Ahmedabad, India",2013-11-12,Gold,Fuel,F,248005,November
12974,"Ahmedabad, India",2015-04-14,Signature,Entertainment,F,183969,April
12975,"Bengaluru, India",2014-06-19,Gold,Food,M,256533,June
12976,"Greater Mumbai, India",2014-02-20,Gold,Food,M,214517,February
12977,"Delhi, India",2014-08-11,Gold,Fuel,M,1206,August
12978,"Bengaluru, India",2014-02-06,Signature,Fuel,M,19744,February
12979,"Bengaluru, India",2013-11-14,Gold,Entertainment,F,132174,November
12980,"Ahmedabad, India",2014-09-13,Platinum,Bills,F,261052,September
12981,"Delhi, India",2014-07-09,Silver,Entertainment,F,62336,July
12982,"Ahmedabad, India",2014-05-19,Gold,Fuel,M,106032,May
12983,"Greater Mumbai, India",2013-11-15,Signature,Bills,F,159334,November
12984,"Ahmedabad, India",2015-04-06,Platinum,Fuel,F,168134,April
12985,"Ahmedabad, India",2015-05-14,Signature,Food,M,47797,May
12986,"Ahmedabad, India",2014-03-15,Platinum,Entertainment,M,228911,March
12987,"Bengaluru, India",2014-02-28,Silver,Fuel,F,183653,February
12988,"Greater Mumbai, India",2015-05-21,Platinum,Bills,F,108490,May
12989,"Bengaluru, India",2014-10-02,Signature,Entertainment,F,46621,October
12990,"Greater Mumbai, India",2014-10-18,Platinum,Fuel,M,41275,October
12991,"Bengaluru, India",2015-02-01,Silver,Food,M,160605,February
12992,"Greater Mumbai, India",2014-02-12,Platinum,Fuel,F,83081,February
12993,"Ahmedabad, India",2015-03-21,Platinum,Entertainment,F,39939,March
12994,"Greater Mumbai, India",2013-12-03,Platinum,Food,F,6824,December
12995,"Bengaluru, India",2014-07-16,Platinum,Entertainment,M,151007,July
12996,"Greater Mumbai, India",2014-04-17,Platinum,Food,M,166431,April
12997,"Greater Mumbai, India",2013-11-23,Gold,Grocery,M,106980,November
12998,"Bengaluru, India",2015-01-19,Platinum,Grocery,M,213202,January
12999,"Delhi, India",2014-10-07,Platinum,Grocery,M,122240,October
13000,"Ahmedabad, India",2014-01-16,Platinum,Food,M,275692,January
13001,"Bengaluru, India",2014-11-26,Gold,Fuel,F,179720,November
13002,"Delhi, India",2014-04-15,Silver,Food,F,109957,April
13003,"Ahmedabad, India",2013-10-31,Platinum,Fuel,F,20135,October
13004,"Greater Mumbai, India",2015-04-05,Gold,Food,M,278428,April
13005,"Delhi, India",2015-02-27,Platinum,Bills,F,206642,February
13006,"Delhi, India",2014-11-18,Platinum,Fuel,F,9625,November
13007,"Ahmedabad, India",2015-05-12,Platinum,Bills,M,273276,May
13008,"Greater Mumbai, India",2014-01-07,Gold,Entertainment,F,255729,January
13009,"Greater Mumbai, India",2014-02-23,Silver,Entertainment,M,94856,February
13010,"Bengaluru, India",2014-07-08,Platinum,Bills,M,208992,July
13011,"Ahmedabad, India",2014-07-29,Signature,Food,M,249322,July
13012,"Bengaluru, India",2014-11-29,Silver,Fuel,F,211986,November
13013,"Greater Mumbai, India",2014-08-25,Silver,Fuel,F,148970,August
13014,"Greater Mumbai, India",2015-05-17,Gold,Bills,F,24467,May
13015,"Bengaluru, India",2013-12-06,Platinum,Food,F,201263,December
13016,"Delhi, India",2013-12-30,Silver,Food,F,25861,December
13017,"Ahmedabad, India",2014-05-15,Signature,Food,M,202249,May
13018,"Bengaluru, India",2014-09-08,Signature,Food,M,240743,September
13019,"Ahmedabad, India",2015-05-03,Signature,Bills,F,50488,May
13020,"Greater Mumbai, India",2014-07-13,Silver,Grocery,F,257229,July
13021,"Delhi, India",2013-10-08,Gold,Entertainment,F,28898,October
13022,"Ahmedabad, India",2014-08-09,Platinum,Grocery,F,169174,August
13023,"Ahmedabad, India",2015-02-27,Gold,Food,F,37636,February
13024,"Delhi, India",2014-05-08,Platinum,Food,M,236917,May
13025,"Ahmedabad, India",2014-03-18,Signature,Grocery,M,87344,March
13026,"Bengaluru, India",2013-12-22,Silver,Food,F,61665,December
13027,"Ahmedabad, India",2013-10-28,Platinum,Entertainment,M,97720,October
13028,"Greater Mumbai, India",2014-08-15,Gold,Fuel,M,100728,August
13029,"Ahmedabad, India",2014-08-15,Platinum,Fuel,M,157878,August
13030,"Ahmedabad, India",2014-11-21,Platinum,Entertainment,F,297093,November
13031,"Delhi, India",2013-10-12,Gold,Fuel,M,253012,October
13032,"Bengaluru, India",2013-11-20,Gold,Grocery,M,258477,November
13033,"Delhi, India",2015-04-07,Signature,Fuel,M,10453,April
13034,"Bengaluru, India",2014-10-29,Signature,Food,M,71325,October
13035,"Bengaluru, India",2015-02-11,Signature,Grocery,M,296079,February
13036,"Bengaluru, India",2014-12-09,Gold,Food,F,1694,December
13037,"Bengaluru, India",2014-10-09,Signature,Bills,M,25510,October
13038,"Ahmedabad, India",2013-12-12,Platinum,Grocery,M,141256,December
13039,"Ahmedabad, India",2014-06-15,Platinum,Fuel,F,273863,June
13040,"Greater Mumbai, India",2013-12-01,Platinum,Bills,F,103332,December
13041,"Delhi, India",2014-07-11,Gold,Grocery,F,152644,July
13042,"Greater Mumbai, India",2014-12-02,Gold,Fuel,F,114804,December
13043,"Delhi, India",2014-07-10,Signature,Grocery,F,219691,July
13044,"Bengaluru, India",2014-07-31,Silver,Bills,M,197655,July
13045,"Greater Mumbai, India",2014-09-24,Silver,Grocery,F,109009,September
13046,"Greater Mumbai, India",2013-10-15,Silver,Grocery,F,250931,October
13047,"Bengaluru, India",2014-02-24,Silver,Grocery,F,128285,February
13048,"Ahmedabad, India",2014-04-29,Platinum,Food,F,167820,April
13049,"Ahmedabad, India",2015-02-24,Gold,Bills,M,12453,February
13050,"Greater Mumbai, India",2015-02-08,Platinum,Fuel,M,229047,February
13051,"Delhi, India",2015-03-21,Platinum,Fuel,F,100530,March
13052,"Delhi, India",2014-07-08,Platinum,Food,M,240950,July
13053,"Ahmedabad, India",2014-04-19,Silver,Grocery,M,57290,April
13054,"Ahmedabad, India",2013-12-08,Platinum,Bills,F,260801,December
13055,"Delhi, India",2013-12-05,Platinum,Food,F,132922,December
13056,"Bengaluru, India",2014-10-21,Signature,Entertainment,M,18052,October
13057,"Delhi, India",2014-07-07,Platinum,Bills,M,211568,July
13058,"Delhi, India",2014-08-16,Platinum,Entertainment,F,196216,August
13059,"Delhi, India",2015-04-23,Silver,Bills,F,259423,April
13060,"Delhi, India",2013-11-23,Gold,Entertainment,F,10984,November
13061,"Ahmedabad, India",2014-08-13,Platinum,Grocery,M,158529,August
13062,"Ahmedabad, India",2014-02-07,Signature,Food,F,200405,February
13063,"Greater Mumbai, India",2015-05-02,Gold,Fuel,F,122713,May
13064,"Delhi, India",2015-04-03,Gold,Food,M,228895,April
13065,"Bengaluru, India",2014-06-12,Signature,Fuel,M,297038,June
13066,"Bengaluru, India",2014-10-19,Gold,Fuel,M,290843,October
13067,"Delhi, India",2014-07-06,Gold,Bills,M,269635,July
13068,"Delhi, India",2014-06-17,Silver,Food,M,1841,June
13069,"Delhi, India",2014-01-19,Platinum,Food,F,218188,January
13070,"Greater Mumbai, India",2014-06-01,Gold,Bills,M,107275,June
13071,"Bengaluru, India",2015-05-05,Signature,Bills,F,46702,May
13072,"Bengaluru, India",2014-11-14,Silver,Food,M,168856,November
13073,"Bengaluru, India",2014-01-29,Platinum,Entertainment,F,190829,January
13074,"Ahmedabad, India",2014-10-28,Signature,Bills,M,43625,October
13075,"Delhi, India",2013-11-16,Gold,Fuel,M,231000,November
13076,"Ahmedabad, India",2015-05-13,Signature,Food,M,113011,May
13077,"Ahmedabad, India",2014-10-27,Gold,Bills,M,275639,October
13078,"Bengaluru, India",2014-07-12,Platinum,Fuel,M,40476,July
13079,"Delhi, India",2015-05-21,Signature,Entertainment,M,264263,May
13080,"Delhi, India",2014-10-18,Gold,Food,M,51027,October
13081,"Delhi, India",2014-07-14,Silver,Fuel,F,288646,July
13082,"Ahmedabad, India",2014-11-02,Signature,Grocery,F,296505,November
13083,"Greater Mumbai, India",2014-05-17,Gold,Food,F,253354,May
13084,"Ahmedabad, India",2014-08-28,Platinum,Bills,F,290877,August
13085,"Greater Mumbai, India",2015-01-30,Signature,Bills,F,48514,January
13086,"Delhi, India",2014-01-25,Silver,Entertainment,M,18046,January
13087,"Bengaluru, India",2014-03-03,Gold,Fuel,F,186726,March
13088,"Bengaluru, India",2014-09-19,Gold,Bills,F,187564,September
13089,"Bengaluru, India",2013-11-29,Platinum,Fuel,M,144642,November
13090,"Delhi, India",2015-03-14,Gold,Fuel,M,175993,March
13091,"Ahmedabad, India",2013-10-14,Silver,Bills,F,28993,October
13092,"Delhi, India",2015-01-06,Platinum,Grocery,F,257234,January
13093,"Ahmedabad, India",2014-09-05,Signature,Bills,M,53855,September
13094,"Greater Mumbai, India",2014-06-21,Silver,Grocery,M,93956,June
13095,"Bengaluru, India",2014-01-04,Silver,Fuel,M,66984,January
13096,"Bengaluru, India",2013-12-29,Signature,Grocery,F,206862,December
13097,"Greater Mumbai, India",2014-12-16,Platinum,Fuel,F,205094,December
13098,"Greater Mumbai, India",2014-09-04,Signature,Fuel,M,155636,September
13099,"Greater Mumbai, India",2015-01-26,Silver,Entertainment,M,188676,January
13100,"Bengaluru, India",2014-08-15,Platinum,Grocery,F,286150,August
13101,"Bengaluru, India",2015-04-03,Platinum,Entertainment,M,76188,April
13102,"Delhi, India",2014-02-14,Gold,Grocery,F,250775,February
13103,"Delhi, India",2015-03-11,Platinum,Fuel,F,226809,March
13104,"Ahmedabad, India",2014-11-19,Signature,Entertainment,F,114279,November
13105,"Ahmedabad, India",2014-11-18,Gold,Entertainment,M,260301,November
13106,"Bengaluru, India",2014-11-10,Platinum,Bills,M,88394,November
13107,"Bengaluru, India",2014-11-11,Signature,Food,F,220952,November
13108,"Bengaluru, India",2014-11-12,Signature,Entertainment,M,10623,November
13109,"Greater Mumbai, India",2015-05-24,Signature,Grocery,M,222564,May
13110,"Greater Mumbai, India",2014-11-07,Platinum,Grocery,M,85646,November
13111,"Greater Mumbai, India",2015-02-05,Platinum,Food,M,122127,February
13112,"Greater Mumbai, India",2015-05-13,Platinum,Food,F,163764,May
13113,"Ahmedabad, India",2013-12-30,Gold,Bills,M,39277,December
13114,"Bengaluru, India",2014-05-18,Signature,Food,F,46718,May
13115,"Delhi, India",2014-10-19,Silver,Grocery,F,55754,October
13116,"Bengaluru, India",2014-05-24,Silver,Food,F,106043,May
13117,"Bengaluru, India",2014-08-03,Signature,Grocery,F,47894,August
13118,"Delhi, India",2015-01-15,Signature,Food,M,30086,January
13119,"Ahmedabad, India",2014-03-16,Signature,Fuel,F,212418,March
13120,"Greater Mumbai, India",2015-04-05,Signature,Food,F,4667,April
13121,"Delhi, India",2014-05-28,Signature,Entertainment,M,283639,May
13122,"Delhi, India",2014-04-24,Silver,Bills,F,138225,April
13123,"Greater Mumbai, India",2014-05-29,Signature,Grocery,M,121400,May
13124,"Delhi, India",2014-09-19,Platinum,Food,M,102422,September
13125,"Ahmedabad, India",2015-04-04,Gold,Entertainment,M,288952,April
13126,"Bengaluru, India",2014-11-23,Platinum,Grocery,F,53487,November
13127,"Bengaluru, India",2014-03-26,Platinum,Fuel,F,170337,March
13128,"Ahmedabad, India",2015-04-25,Signature,Food,F,15525,April
13129,"Delhi, India",2015-01-31,Silver,Food,M,136623,January
13130,"Greater Mumbai, India",2014-01-10,Signature,Entertainment,M,82290,January
13131,"Bengaluru, India",2015-04-04,Signature,Grocery,M,227796,April
13132,"Ahmedabad, India",2014-09-16,Gold,Fuel,M,182027,September
13133,"Ahmedabad, India",2014-07-11,Platinum,Grocery,M,214683,July
13134,"Ahmedabad, India",2014-07-22,Silver,Entertainment,M,58068,July
13135,"Bengaluru, India",2013-11-14,Signature,Entertainment,M,94712,November
13136,"Bengaluru, India",2014-01-19,Silver,Fuel,M,281312,January
13137,"Ahmedabad, India",2014-12-26,Gold,Food,M,275303,December
13138,"Greater Mumbai, India",2015-05-08,Platinum,Grocery,F,281978,May
13139,"Bengaluru, India",2014-11-28,Silver,Entertainment,F,245930,November
13140,"Ahmedabad, India",2013-10-24,Silver,Fuel,M,200707,October
13141,"Greater Mumbai, India",2015-01-17,Platinum,Entertainment,M,220038,January
13142,"Delhi, India",2013-11-30,Signature,Food,M,212680,November
13143,"Greater Mumbai, India",2013-11-06,Gold,Fuel,M,139609,November
13144,"Greater Mumbai, India",2014-01-15,Platinum,Fuel,M,176207,January
13145,"Delhi, India",2015-05-15,Silver,Grocery,F,13820,May
13146,"Bengaluru, India",2014-06-02,Signature,Bills,M,299980,June
13147,"Greater Mumbai, India",2014-01-13,Gold,Entertainment,M,240215,January
13148,"Ahmedabad, India",2013-12-07,Platinum,Food,M,72653,December
13149,"Greater Mumbai, India",2014-11-24,Silver,Fuel,F,264224,November
13150,"Delhi, India",2015-01-17,Platinum,Fuel,M,146946,January
13151,"Bengaluru, India",2014-04-13,Silver,Bills,M,293862,April
13152,"Delhi, India",2014-08-08,Silver,Grocery,M,194178,August
13153,"Greater Mumbai, India",2014-01-31,Platinum,Bills,F,221402,January
13154,"Greater Mumbai, India",2013-12-28,Gold,Entertainment,F,285429,December
13155,"Delhi, India",2015-01-09,Platinum,Fuel,M,190496,January
13156,"Bengaluru, India",2014-03-02,Signature,Entertainment,M,261803,March
13157,"Ahmedabad, India",2014-05-04,Platinum,Grocery,M,193972,May
13158,"Delhi, India",2015-01-04,Silver,Grocery,M,36689,January
13159,"Greater Mumbai, India",2015-02-07,Signature,Food,M,113293,February
13160,"Greater Mumbai, India",2014-07-04,Silver,Bills,F,25246,July
13161,"Greater Mumbai, India",2013-11-06,Platinum,Food,M,133094,November
13162,"Bengaluru, India",2014-02-05,Platinum,Entertainment,M,254166,February
13163,"Ahmedabad, India",2014-05-29,Platinum,Food,F,180091,May
13164,"Bengaluru, India",2014-02-15,Signature,Food,F,97995,February
13165,"Bengaluru, India",2014-10-07,Signature,Food,M,135067,October
13166,"Greater Mumbai, India",2014-07-10,Platinum,Entertainment,F,200604,July
13167,"Delhi, India",2014-04-15,Signature,Grocery,F,250728,April
13168,"Bengaluru, India",2014-12-02,Silver,Food,M,65618,December
13169,"Greater Mumbai, India",2015-04-21,Platinum,Food,F,59427,April
13170,"Bengaluru, India",2014-05-11,Silver,Bills,F,5432,May
13171,"Delhi, India",2014-11-06,Gold,Bills,M,202522,November
13172,"Bengaluru, India",2015-05-02,Platinum,Grocery,M,24143,May
13173,"Delhi, India",2015-03-19,Silver,Entertainment,F,297162,March
13174,"Delhi, India",2014-01-04,Silver,Fuel,F,121888,January
13175,"Delhi, India",2014-01-13,Gold,Fuel,M,104570,January
13176,"Greater Mumbai, India",2014-06-02,Gold,Bills,M,56774,June
13177,"Greater Mumbai, India",2014-02-23,Silver,Fuel,F,201794,February
13178,"Greater Mumbai, India",2015-05-07,Platinum,Entertainment,M,126745,May
13179,"Bengaluru, India",2014-06-04,Platinum,Food,F,107292,June
13180,"Ahmedabad, India",2014-05-26,Gold,Fuel,F,278638,May
13181,"Ahmedabad, India",2013-11-29,Signature,Grocery,F,155152,November
13182,"Ahmedabad, India",2014-10-28,Gold,Entertainment,F,27107,October
13183,"Greater Mumbai, India",2014-12-08,Silver,Grocery,F,219030,December
13184,"Ahmedabad, India",2015-01-03,Platinum,Entertainment,F,180295,January
13185,"Greater Mumbai, India",2014-09-25,Platinum,Entertainment,F,214707,September
13186,"Ahmedabad, India",2014-03-28,Platinum,Fuel,F,258771,March
13187,"Delhi, India",2014-03-09,Gold,Food,M,228785,March
13188,"Ahmedabad, India",2014-11-13,Signature,Bills,M,40256,November
13189,"Delhi, India",2014-07-12,Silver,Grocery,F,272228,July
13190,"Delhi, India",2014-12-27,Platinum,Entertainment,F,18275,December
13191,"Ahmedabad, India",2014-03-10,Silver,Food,M,67153,March
13192,"Bengaluru, India",2014-08-21,Silver,Food,F,187418,August
13193,"Greater Mumbai, India",2014-06-24,Gold,Entertainment,F,26516,June
13194,"Delhi, India",2015-01-19,Platinum,Food,M,14123,January
13195,"Delhi, India",2015-03-15,Gold,Bills,M,47487,March
13196,"Delhi, India",2015-05-15,Gold,Entertainment,M,69676,May
13197,"Bengaluru, India",2014-09-27,Signature,Food,F,80805,September
13198,"Ahmedabad, India",2014-08-21,Gold,Entertainment,M,170242,August
13199,"Greater Mumbai, India",2014-06-28,Gold,Food,M,210265,June
13200,"Greater Mumbai, India",2014-10-16,Gold,Food,M,272536,October
13201,"Delhi, India",2013-11-26,Platinum,Bills,M,74430,November
13202,"Ahmedabad, India",2014-06-25,Platinum,Fuel,M,244645,June
13203,"Greater Mumbai, India",2014-12-06,Silver,Bills,M,17590,December
13204,"Greater Mumbai, India",2014-01-19,Silver,Entertainment,F,167409,January
13205,"Bengaluru, India",2014-04-21,Platinum,Grocery,M,296046,April
13206,"Delhi, India",2015-02-06,Platinum,Food,M,202546,February
13207,"Greater Mumbai, India",2013-11-06,Platinum,Entertainment,F,136890,November
13208,"Bengaluru, India",2014-09-03,Platinum,Fuel,F,253111,September
13209,"Delhi, India",2014-12-23,Platinum,Food,M,290227,December
13210,"Ahmedabad, India",2014-11-04,Signature,Bills,M,122527,November
13211,"Ahmedabad, India",2014-02-10,Signature,Entertainment,M,217591,February
13212,"Bengaluru, India",2015-02-14,Gold,Food,M,199671,February
13213,"Delhi, India",2014-12-08,Silver,Food,F,75473,December
13214,"Bengaluru, India",2014-03-12,Platinum,Entertainment,F,253811,March
13215,"Ahmedabad, India",2013-10-21,Gold,Fuel,M,36310,October
13216,"Bengaluru, India",2014-11-07,Platinum,Entertainment,M,182905,November
13217,"Delhi, India",2014-02-10,Silver,Grocery,M,49369,February
13218,"Bengaluru, India",2013-10-09,Gold,Bills,M,242790,October
13219,"Bengaluru, India",2014-09-13,Gold,Food,F,214797,September
13220,"Greater Mumbai, India",2015-01-20,Silver,Bills,F,163851,January
13221,"Greater Mumbai, India",2014-03-01,Platinum,Grocery,F,186136,March
13222,"Delhi, India",2015-05-14,Platinum,Fuel,F,58107,May
13223,"Greater Mumbai, India",2014-04-20,Gold,Grocery,F,92930,April
13224,"Ahmedabad, India",2014-01-14,Silver,Food,F,180897,January
13225,"Delhi, India",2014-11-13,Signature,Entertainment,M,150456,November
13226,"Bengaluru, India",2013-11-08,Silver,Grocery,M,279613,November
13227,"Greater Mumbai, India",2014-09-12,Platinum,Entertainment,M,176728,September
13228,"Delhi, India",2014-06-08,Gold,Grocery,M,134915,June
13229,"Bengaluru, India",2015-02-18,Silver,Food,M,123672,February
13230,"Delhi, India",2014-06-02,Signature,Grocery,M,239297,June
13231,"Ahmedabad, India",2015-04-26,Gold,Entertainment,F,27054,April
13232,"Greater Mumbai, India",2013-11-05,Silver,Food,F,218033,November
13233,"Bengaluru, India",2013-12-11,Signature,Grocery,M,178414,December
13234,"Ahmedabad, India",2014-10-16,Silver,Food,F,138935,October
13235,"Bengaluru, India",2014-02-15,Signature,Food,F,201659,February
13236,"Ahmedabad, India",2014-09-07,Platinum,Bills,F,82403,September
13237,"Delhi, India",2014-08-27,Gold,Bills,M,118082,August
13238,"Ahmedabad, India",2013-12-03,Gold,Grocery,M,253449,December
13239,"Bengaluru, India",2014-02-14,Gold,Grocery,M,245286,February
13240,"Ahmedabad, India",2014-10-05,Signature,Grocery,M,157211,October
13241,"Delhi, India",2014-12-10,Platinum,Bills,M,64233,December
13242,"Ahmedabad, India",2013-12-15,Signature,Bills,F,269395,December
13243,"Greater Mumbai, India",2015-03-15,Silver,Grocery,M,158137,March
13244,"Bengaluru, India",2014-01-16,Platinum,Entertainment,F,167755,January
13245,"Delhi, India",2014-01-12,Silver,Bills,M,294064,January
13246,"Delhi, India",2015-05-19,Signature,Fuel,F,260184,May
13247,"Greater Mumbai, India",2013-10-11,Silver,Grocery,M,271912,October
13248,"Delhi, India",2014-07-20,Silver,Entertainment,M,297122,July
13249,"Greater Mumbai, India",2014-01-29,Gold,Entertainment,M,258482,January
13250,"Delhi, India",2015-03-07,Signature,Entertainment,F,173419,March
13251,"Ahmedabad, India",2014-03-29,Gold,Fuel,F,259703,March
13252,"Delhi, India",2014-08-15,Gold,Fuel,M,109626,August
13253,"Greater Mumbai, India",2014-09-06,Platinum,Fuel,M,171752,September
13254,"Greater Mumbai, India",2014-11-15,Platinum,Fuel,F,127723,November
13255,"Greater Mumbai, India",2014-09-06,Gold,Grocery,M,127836,September
13256,"Bengaluru, India",2014-06-18,Signature,Fuel,F,54834,June
13257,"Greater Mumbai, India",2015-04-01,Gold,Bills,F,274302,April
13258,"Ahmedabad, India",2014-03-25,Platinum,Entertainment,M,195096,March
13259,"Ahmedabad, India",2015-03-07,Silver,Bills,F,206075,March
13260,"Bengaluru, India",2014-08-12,Signature,Grocery,M,47395,August
13261,"Bengaluru, India",2014-08-27,Signature,Entertainment,F,217800,August
13262,"Bengaluru, India",2015-01-18,Gold,Fuel,F,104799,January
13263,"Delhi, India",2014-06-26,Silver,Fuel,F,207181,June
13264,"Greater Mumbai, India",2014-04-10,Platinum,Grocery,F,166185,April
13265,"Delhi, India",2014-10-01,Gold,Bills,F,140804,October
13266,"Delhi, India",2014-12-01,Signature,Fuel,F,48059,December
13267,"Ahmedabad, India",2015-04-03,Signature,Grocery,M,33523,April
13268,"Bengaluru, India",2014-02-27,Signature,Grocery,F,137051,February
13269,"Delhi, India",2014-05-29,Signature,Food,F,246412,May
13270,"Ahmedabad, India",2013-10-23,Gold,Entertainment,F,299495,October
13271,"Ahmedabad, India",2015-04-19,Gold,Bills,F,63061,April
13272,"Bengaluru, India",2014-04-16,Signature,Grocery,F,219251,April
13273,"Delhi, India",2014-09-26,Gold,Food,F,129736,September
13274,"Delhi, India",2015-03-30,Platinum,Bills,M,41625,March
13275,"Delhi, India",2014-11-23,Platinum,Food,M,157682,November
13276,"Bengaluru, India",2014-05-18,Silver,Bills,F,161397,May
13277,"Greater Mumbai, India",2014-07-06,Silver,Food,F,7003,July
13278,"Greater Mumbai, India",2014-10-16,Signature,Bills,F,41053,October
13279,"Delhi, India",2014-11-23,Signature,Grocery,M,58389,November
13280,"Bengaluru, India",2014-11-29,Signature,Entertainment,F,299936,November
13281,"Ahmedabad, India",2014-08-05,Platinum,Bills,M,41724,August
13282,"Ahmedabad, India",2013-11-06,Gold,Entertainment,F,266069,November
13283,"Bengaluru, India",2014-07-04,Silver,Food,M,188000,July
13284,"Bengaluru, India",2014-07-23,Gold,Food,F,246655,July
13285,"Bengaluru, India",2013-12-10,Platinum,Fuel,M,228833,December
13286,"Ahmedabad, India",2014-06-26,Silver,Grocery,M,190827,June
13287,"Delhi, India",2015-02-22,Signature,Entertainment,M,134376,February
13288,"Delhi, India",2013-12-29,Silver,Fuel,F,161218,December
13289,"Delhi, India",2015-01-27,Gold,Grocery,M,201566,January
13290,"Greater Mumbai, India",2014-12-02,Gold,Entertainment,M,169567,December
13291,"Delhi, India",2015-02-20,Silver,Grocery,M,20104,February
13292,"Ahmedabad, India",2014-08-27,Silver,Food,M,108731,August
13293,"Bengaluru, India",2015-01-08,Platinum,Bills,M,2333,January
13294,"Ahmedabad, India",2014-12-05,Gold,Grocery,F,291270,December
13295,"Ahmedabad, India",2014-08-07,Silver,Fuel,F,177488,August
13296,"Greater Mumbai, India",2014-06-23,Gold,Fuel,F,257865,June
13297,"Delhi, India",2014-04-06,Silver,Grocery,M,180869,April
13298,"Ahmedabad, India",2013-12-18,Platinum,Food,F,291033,December
13299,"Delhi, India",2014-10-01,Silver,Grocery,F,33525,October
